prenom,genre,count
ADELHEID,F,69
ADELIA,F,928
ADELICE,F,46
ADELIE,F,1764
ADELIN,M,807
ADELINA,F,1774
ADELINE,F,54412
ADELINO,M,375
ADELIO,M,100
ADELISA,F,38
ADELISE,F,69
ADELITA,F,33
ADELLA,F,29
ADELLE,F,150
ADELMA,F,31
ADELMO,M,35
ADELPHE,M,74
ADELPHINE,F,352
ADELSON,M,139
ADELYA,F,81
ADELYNE,F,278
ADELYS,F,38
ADEM,M,11431
ADEMA,F,26
ADEMAR,M,47
ADEME,M,155
ADEN,MF,923
ADENA,F,34
ADENISE,F,20
ADENORA,F,68
ADEODAT,M,30
ADERITO,M,120
ADHAM,M,366
ADHAN,M,151
ADHEM,M,65
ADHEMAR,M,180
ADHEN,M,80
ADHIRA,F,22
ADHÉMAR,M,30
ADI,MF,132
ADIA,F,110
ADIANA,F,22
ADIARA,F,20
ADIARATOU,F,56
ADIB,M,506
ADIBA,F,46
ADIDI,F,25
ADIDJA,F,45
ADIEL,M,37
ADIJA,F,25
ADIL,M,5434
ADILA,F,136
ADILE,MF,354
ADILIA,F,51
ADILLE,M,23
ADILSON,M,104
ADIM,M,84
ADIN,M,81
ADINA,F,171
ADINANE,M,20
ADINE,F,181
ADIS,M,65
ADISA,F,38
ADISON,F,20
ADISSA,F,28
ADISSON,F,33
ADITHYA,M,31
ADITI,F,32
ADITYA,M,81
ADIXIA,F,231
ADIZA,F,21
ADJA,F,578
ADJARA,F,46
ADJARATOU,F,53
ADJI,MF,157
ADJIA,F,73
ADJILA,F,77
ADJIRA,F,24
ADJMAL,M,39
ADJO,F,21
ADJOA,F,20
ADJOUA,F,27
ADLAN,M,138
ADLANE,M,233
ADLEN,M,163
ADLENE,M,158
ADLER,M,21
ADLEY,M,21
ADLI,M,23
ADLINE,F,123
ADLYNE,F,28
ADLÈNE,M,47
ADMIR,M,60
ADNA,F,82
ADNAN,M,986
ADNANE,M,996
ADNEN,M,80
ADNENE,M,66
ADOLF,M,56
ADOLFO,M,175
ADOLIE,F,25
ADOLINE,F,23
ADOLPH,M,59
ADOLPHA,F,43
ADOLPHE,MF,16558
ADOLPHINE,F,2203
ADON,M,33
ADONAI,MF,109
ADONAY,MF,70
ADONAÏ,MF,130
ADONIA,F,78
ADONIE,F,22
ADONIS,M,1851
ADONISE,F,37
ADONYS,M,80
ADORA,F,53
ADORACION,F,68
ADORATION,F,91
ADOU,M,25
ADOUM,M,20
ADRA,F,39
ADRIA,F,230
ADRIAAN,M,34
ADRIAN,M,5638
ADRIANA,F,3270
ADRIANE,F,488
ADRIANN,M,103
ADRIANNA,F,382
ADRIANNE,F,199
ADRIANO,M,2616
ADRIEL,M,880
ADRIELLE,F,71
ADRIEN,MF,137790
ADRIENNE,F,34926
ADRINA,F,24
ADRIÀN,M,87
ADRYA,F,24
ADRYAN,M,265
ADRYANA,F,76
ADRYANN,M,33
ADRYANO,M,30
ADRYEL,M,33
ADRYEN,M,158
ADVIK,M,28
ADVIKA,F,21
ADY,MF,57
ADYAN,M,45
ADYL,M,122
ADYSON,F,40
ADYSSON,F,50
ADZO,M,20
ADÂM,M,42
ADÈL,M,42
ADÈLA,F,22
ADÈLE,MF,44203
ADÈLE-ROSE,F,21
ADÈM,M,78
ADÉLA,F,62
ADÉLAIDE,F,53
ADÉLAÏDE,F,1887
ADÉLAÏS,F,27
ADÉLE,F,34
ADÉLIA,F,370
ADÉLIE,F,1031
ADÉLINA,F,135
ADÉLINE,F,61
ADÉLIO,M,32
ADÉLYA,F,49
ADÉNORA,F,27
AEDAN,M,872
AEDANN,M,33
AEDEN,M,215
AEGON,M,22
AEL,MF,550
AELA,F,584
AELAIG,F,22
AELIA,F,538
AELIG,MF,288
AELINE,F,48
AELIS,F,210
AELITA,F,50
AELLA,F,58
AELLE,F,112
AELY,F,21
AELYA,F,100
AELYN,F,32
AELYNE,F,35
AELYNN,F,44
AELYS,F,485
AENA,F,28
AENAELLE,F,36
AENOR,F,227
AENORA,F,27
AERIN,F,20
AERIS,F,174
AERITH,F,46
AERON,M,66
AERYN,F,141
AERYNE,F,27
AERYS,F,41
AESA,F,75
AFAF,F,322
AFAFE,F,55
AFDAL,M,30
AFEDA,F,21
AFEF,F,174
AFENI,F,25
AFFAF,F,34
AFFAN,M,39
AFFEF,F,23
AFFIF,M,52
AFFOU,F,24
AFFOUE,F,22
AFFOUSSIATA,F,22
AFI,F,38
AFIA,F,71
AFID,M,52
AFIDA,F,150
AFIF,M,344
AFIFA,F,162
AFIYA,F,26
AFNAN,MF,131
AFNANE,F,296
AFNEN,F,24
AFNENE,F,37
AFONSO,M,294
AFRA,F,63
AFRAH,F,57
AFRAHIM,M,51
AFRICA,F,33
AFRIM,M,24
AFSA,F,46
AFSANA,F,23
AFTAB,M,26
AFTON,F,50
AFTONE,F,28
AFZAL,M,28
AGAPITO,M,21
AGAR,F,21
AGASH,M,45
AGATA,F,242
AGATE,F,334
AGATHA,F,673
AGATHE,MF,54725
AGATHON,M,78
AGENOR,M,230
AGHILAS,M,128
AGHILES,M,181
AGIM,M,36
AGIT,M,59
AGLAE,F,1498
AGLAEE,F,273
AGLAIA,F,20
AGLAÉ,F,469
AGLAÉE,F,27
AGLAË,F,45
AGNAN,MF,455
AGNEL,M,96
AGNELA,F,38
AGNELLA,F,23
AGNES,F,179
AGNESA,F,41
AGNESE,F,188
