patronyme,count
CLOT,399
CLOUET,614
CLUZEAU,303
CLUZEL,631
COAT,316
COCHARD,714
COCHET,1263
COCHIN,263
CODRON,259
COELHO,582
COGNARD,379
COGNET,503
COHEN,4662
COIFFARD,329
COIGNARD,358
COIN,250
COLAS,2211
COLIN,4758
COLINET,280
COLL,450
COLLARD,992
COLLAS,488
COLLE,551
COLLET,3376
COLLETTE,365
COLLIER,329
COLLIGNON,813
COLLIN,2904
COLLINET,359
COLLOMB,548
COLLOT,696
COLOMB,636
COLOMBANI,569
COLOMBEL,415
COLOMBET,453
COLOMBIER,551
COLOMBO,637
COLONNA,431
COLSON,684
COMBE,1371
COMBEAU,282
COMBES,1758
COMBET,388
COME,297
COMPAGNON,437
COMPAIN,440
COMTE,1693
CONAN,783
CONDE,279
CONNAN,445
CONRAD,322
CONSEIL,280
CONSTANS,441
CONSTANT,1600
CONSTANTIN,1285
CONTE,1135
CONTI,530
CONTRERAS,412
CONVERT,305
COPIN,636
COPPIN,335
COQUARD,503
COQUELET,315
COQUELIN,394
COQUET,597
COQUIN,283
CORBEAU,321
CORBEL,625
CORBET,309
CORBIERE,392
CORBIN,766
CORDIER,2589
CORDONNIER,629
CORMIER,944
CORNEC,323
CORNET,1341
CORNETTE,283
CORNIER,294
CORNILLE,322
CORNILLON,266
CORNU,1646
CORRE,1184
CORREIA,826
CORTES,1278
COSKUN,253
COSSE,279
COSSON,830
COSTA,2184
COSTANTINI,265
COSTE,2735
COSTES,1207
COTE,658
COTTE,688
COTTEREAU,337
COTTET,460
COTTIER,271
COTTIN,954
COTTON,360
COUDERC,1533
COUDERT,1249
COUDRAY,747
COUE,311
COUET,254
COUILLARD,337
COULAUD,319
COULET,353
COULIBALY,852
COULOMB,436
COULON,2519
COUPE,490
COURANT,450
COURAUD,248
COURBET,313
COURBON,276
COURET,320
COURREGES,255
COURT,578
COURTIAL,452
COURTIN,984
COURTOIS,2225
COURTOT,266
COURTY,491
COUSIN,2914
COUSSEAU,381
COUTANT,926
COUTARD,332
COUTEAU,353
COUTIN,274
COUTON,296
COUTURE,488
COUTURIER,2157
COUTY,348
COUVREUR,542
COVACI,293
CRENN,324
CREPIN,1110
CRESPEL,268
CRESPIN,600
CRESPO,339
CRESSON,273
CRETIN,578
CRETON,383
CROCHET,633
CROS,2143
CROSNIER,465
CROUZET,1039
CROZE,291
CROZET,456
CROZIER,317
CRUZ,540
CUENOT,336
CUISINIER,314
CUNY,858
CURE,297
CURT,297
CUVELIER,675
CUVILLIER,524
DABO,252
DAGORN,294
DAGUET,342
DAHAN,1125
DAHMANI,680
DAILLY,337
DALLE,540
DALLEAU,327
DALMAS,289
DALMASSO,594
DAMIEN,293
DAMIENS,321
DAMON,251
DAMOUR,755
DANEL,359
DANET,504
DANG,455
DANIEL,3215
DANJOU,416
DANO,279
DANTIN,256
DAO,280
DAOUD,393
DAOUDI,431
DARD,274
DARDE,248
DARDENNE,426
DARGENT,265
DARMON,730
DARRAS,873
DARTOIS,340
DASSONVILLE,410
DAUCHY,261
DAUDE,414
DAUDIN,250
DAUGE,261
DAUMAS,738
DAUPHIN,906
DAUVERGNE,430
DAVAL,461
DAVIAUD,279
DAVID,9424
DAVIES,277
DAVIET,298
DAVIN,390
DAVIS,260
DAVOINE,309
DAVOUST,325
DAVY,805
DEBARD,789
DEBORD,436
DEBRAY,679
DEBRUYNE,466
DECAMPS,333
DECAUX,354
DECKER,379
DECLERCK,370
DECLERCQ,601
DECONINCK,266
DECROIX,522
DEDIEU,758
DEFONTAINE,362
DEFOSSE,309
DEFOSSEZ,261
DEFRANCE,624
DEGAND,258
DEGARDIN,393
DEHAIS,267
DEJARDIN,348
DEJEAN,1164
DELABARRE,296
DELABRE,388
DELABY,346
DELACOUR,549
DELACOURT,284
DELACROIX,776
DELAFOSSE,389
DELAGE,1931
DELAHAYE,1798
DELAIRE,485
DELALANDE,757
DELAMARE,840
DELAMARRE,388
DELAMOTTE,281
DELANNOY,1597
DELANOE,407
DELAPLACE,467
DELAPORTE,1061
DELARBRE,248
DELARUE,866
DELAS,371
DELASSUS,251
DELATTRE,2003
DELAUNAY,2549
DELAUNE,348
DELAVAL,315
DELAVEAU,278
DELAY,256
DELAYE,444
DELBARRE,259
DELBOS,509
DELCOURT,755
DELCROIX,797
DELCROS,256
DELEAU,309
DELECROIX,272
DELEPINE,497
DELERUE,274
DELESALLE,259
DELESTRE,388
DELETANG,287
DELEUZE,289
DELFORGE,293
DELFOSSE,344
DELFOUR,273
DELGADO,523
DELHAYE,826
DELHOMME,552
DELIGNY,325
DELILLE,353
DELISLE,335
DELMAS,2810
DELMOTTE,669
DELOBEL,415
DELOFFRE,290
DELON,627
DELOR,282
DELORD,454
DELORME,2456
DELORT,449
DELPECH,1161
DELPIERRE,442
DELPLACE,266
DELPLANQUE,509
DELPORTE,673
DELPRAT,294
DELPUECH,347
DELPY,294
DELRIEU,609
DELRUE,350
DELSOL,359
DELTEIL,249
DELTOUR,422
DELVAL,421
DEMAISON,268
DEMANGE,768
DEMAREST,250
DEMARET,400
DEMAY,752
DEMBELE,284
DEMESTRE,338
DEMIR,664
DEMOL,268
DEMONT,361
DEMOULIN,532
DENEUVILLE,280
DENEUX,341
DENIAU,612
DENIAUD,261
DENIEL,409
DENIS,5908
DENIZOT,331
DENOYELLE,311
DENYS,398
DEPARIS,303
DEPREZ,679
DEREGNAUCOURT,255
DEROCHE,286
DEROO,281
DEROUET,544
DERRIEN,974
DERVAUX,282
DESBOIS,825
DESBORDES,496
DESCAMPS,1735
DESCHAMPS,3808
DESCLAUX,260
DESCOMBES,383
DESCOURS,269
DESERT,429
DESFORGES,413
DESGRANGES,373
DESHAYES,1151
DESIRE,376
DESJARDINS,502
DESLANDES,715
DESMET,483
DESMOULINS,336
DESNOS,309
DESPRES,745
DESPREZ,669
DESROCHES,364
DESRUES,285
DESSAINT,307
DESTOUCHES,251
DESVAUX,322
DESVIGNES,508
DEVAUD,298
DEVAUX,2185
DEVEAUX,389
DEVEZE,263
DEVIENNE,248
DEVIGNE,253
DEVILLE,878
DEVILLERS,735
DEVILLIERS,271
DEVIN,380
DEVOS,903
DEWAELE,291
DIA,344
DIABY,896
DIAGNE,351
DIAKITE,462
DIALLO,2170
DIARD,356
DIARRA,580
DIAS,1282
DIAWARA,349
DIAZ,1983
DIDELOT,328
DIDIER,2425
DIEBOLD,263
DIENG,375
DIETRICH,511
